,ID,Name,Screen Name,Followers Count,Favorites Count,Followed_By
39,5402612,BBC Breaking News,BBCBreaking,41129297,0,44196397
65,11348282,NASA,NASA,34333078,8003,44196397
26,17471979,National Geographic,NatGeo,23550239,6639,44196397
9,19725644,Neil deGrasse Tyson,neiltyson,13572093,0,44196397
80,34743251,SpaceX,SpaceX,9409763,111,44196397
79,13298072,Tesla,Tesla,4621520,3261,44196397
63,1582853809,History In Pictures,HistoryInPics,4002103,184,44196397
27,137857547,Yusaku Maezawa (MZ) 前澤友作,yousuck2020,3838312,147,44196397
61,14647570,Scientific American,sciam,3799469,2848,44196397
44,19658826,New Scientist,newscientist,3567182,16165,44196397
60,23504870,South Park,SouthPark,3001075,5699,44196397
53,1451773004,Intl. Space Station,Space_Station,2937953,12027,44196397
52,19802879,NASA JPL,NASAJPL,2910454,2130,44196397
77,11178902,The New York Review of Books,nybooks,2286231,7062,44196397
23,22677790,Jon Favreau,Jon_Favreau,2062076,321,44196397
19,15862891,Nature News & Comment,NatureNews,1984223,1406,44196397
57,511402689,World and Science,WorldAndScience,1911361,837,44196397
51,729468343,Rick and Morty,RickandMorty,1871570,13580,44196397
43,937499232,Malala,Malala,1533743,1469,44196397
18,32372834,Science Magazine,sciencemagazine,1458523,1573,44196397
17,621573,BBC Science News,BBCScienceNews,1418385,96,44196397
74,23962323,Discover Magazine,DiscoverMag,1168271,1144,44196397
25,276540738,༺GRIM ≡ﾟS༻,Grimezsz,853334,7263,44196397
33,64488804,Ken Levine,levine,826930,988,44196397
75,17248121,Phys.org,physorg_com,754677,12865,44196397
29,5943622,Marc Andreessen,pmarca,729268,312554,44196397
54,2217099931,How Things Work,ThingsWork,713735,73,44196397
78,16689804,Khan Academy,khanacademy,679218,13544,44196397
67,209811713,The Hacker News,TheHackersNews,587518,8064,44196397
30,86390214,Wikipedia,Wikipedia,475021,2960,44196397
69,57047586,Atlas Obscura,atlasobscura,411800,20565,44196397
71,817386,Techmeme,Techmeme,403989,37598,44196397
46,3356531254,Internet of Shit,internetofshit,402431,4282,44196397
31,3429950987,World of Engineering,engineers_feed,399315,720,44196397
62,4398626122,OpenAI,OpenAI,396554,398,44196397
32,7267562,BBC Comedy,bbccomedy,387757,12248,44196397
55,859816394556284929,The Boring Company,boringcompany,334106,146,44196397
21,2993230373,Universal-Sci,universal_sci,324399,36,44196397
48,3511430425,Fermat's Library,fermatslibrary,312819,192,44196397
42,2436389418,SwiftOnSecurity,SwiftOnSecurity,297582,95836,44196397
38,28567809,The Royal Society,royalsociety,267402,30131,44196397
68,2251623492,XKCD Comic,xkcdComic,250579,4,44196397
22,20972371,Dan Carlin,HardcoreHistory,247102,17,44196397
